"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4491","Registro de una cuenta ya creada","chromium","2026-08-03","passed","2026-08-03","validando registro de cuenta","registro.spec.js","",""
"","16153","compra sin numero de tarjeta","chromium","2026-08-03","passed","2026-08-03","validando pasarela de pagos","pago.spec.js","",""
"","16547","compra de un producto","chromium","2026-08-03","passed","2026-08-03","validando pasarela de pagos","pago.spec.js","",""
"","17188","compra con numero de tarjeta bloqueada","chromium","2026-08-03","passed","2026-08-03","validando pasarela de pagos","pago.spec.js","",""
"","9575","login con datos inválidos","chromium","2026-08-03","passed","2026-08-03","Escenarios de login de cuenta","login.spec.js","",""
"","9884","Registro con datos válidos","chromium","2026-08-03","passed","2026-08-03","validando registro de cuenta","registro.spec.js","",""
"","14907","compra con numero de tarjeta inválido","chromium","2026-08-03","passed","2026-08-03","validando pasarela de pagos","pago.spec.js","",""
"","4990","login con datos vacios","chromium","2026-08-03","passed","2026-08-03","Escenarios de login de cuenta","login.spec.js","",""
"","7204","Registro con datos válidos","chromium","2026-07-29","failed","2026-07-29","Escenarios de registro de cuenta","registro.spec.js","",""
"","9892","login con datos válidos","chromium","2026-08-03","passed","2026-08-03","Escenarios de login de cuenta","login.spec.js","",""
